"host","IP","status","scores"
"BTSLIN.com","192.168.137.180",1,-6435.18846560847
"BTSLIN.com","192.168.137.182",1,-8427.68466898955
"NCCUCS.com","192.168.137.190",1,-11026.3813078471
"NCCUCS.com","192.168.137.193",1,-6108.27285714286
"NCCUCS.com","192.168.137.196",1,-8292.0493495935
"NCCU.com","192.168.137.200",1,-8377.946245121
"NCCU.com","192.168.137.201",1,-8240.8762685402
"NCCU.com","192.168.137.202",1,-7575.00013431013
"NSD.com","192.168.137.210",1,-7764.12843537415
"NSD.com","192.168.137.218",1,-7893.09857142857
"BDS.com","192.168.137.220",1,-8628.40285714286
"BDS.com","192.168.137.226",1,-6950.0943537415
"CLIP.com","192.168.137.230",1,-7381.50637110016
"CLIP.com","192.168.137.236",1,-7300.13093167702
"unionlab.com","192.168.137.240",1,-7249.7732505176
"unionlab.com","192.168.137.241",1,-8120.09221701795
"unionlab.com","192.168.137.242",1,-5545.8319047619
